L_angstrom,cp2k_energy_Eh,signed_delta_E_kJ_per_mol,abs_delta_E_kJ_per_mol,max_component_delta_F_Eh_per_a0,max_abs_stress_GPa,max_abs_analytical_minus_numerical_virial_Eh,cp2k_sha256,normal_termination,qualified
8,-76.532818942549213,-250.56149500674175,250.56149500674175,0.005111710700000001,0.7092639053958741,1.2969999935164012e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
10,-76.496127794977980,-154.2289002863657,154.2289002863657,0.0036713449,0.2947137933019087,1.8870000006998566e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
12,-76.472292438857721,-91.64918138575067,91.64918138575067,0.0023167801000000005,0.14294679837195143,1.281000000085547e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
15,-76.451539167054960,-37.16147374957328,37.16147374957328,0.0009674247000000004,0.05129665826090072,2.755999997661185e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
20,-76.439855896618809,-6.487051431512661,6.487051431512661,0.00015323979999999973,0.011996772411557678,1.343e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
30,-76.437448187796505,-0.16561278658093437,0.16561278658093437,5.3845999999999755e-06,0.0025891070503322707,6.925999999213284e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
40,-76.437389402137327,-0.011271059602507095,0.011271059602507095,3.975499999999549e-06,0.0010775425298468447,2.685e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
50,-76.437386707178987,-0.004195447452423745,0.004195447452423745,2.0803999999999268e-06,0.0005514163850830732,4.991000000439949e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
60,-76.437386018626526,-0.002387653214305247,0.002387653214305247,1.2047999999997144e-06,0.0003190850834318229,7.294000001212275e-09,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
80,-76.437385493123926,-0.001007946327459497,0.001007946327459497,5.096000000003043e-07,0.00013460780132621932,1.0742e-08,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
100,-76.437385305373553,-0.0005150077908357804,0.0005150077908357804,2.601999999993915e-07,6.891811614922604e-05,1.0857999999114298e-08,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
150,-76.437385167351678,-0.0001526314077829405,0.0001526314077829405,7.710000000070438e-08,2.041993837573621e-05,1.0664999999993909e-08,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
200,-76.437385134501923,-6.638438787343746e-05,6.638438787343746e-05,3.410000000078628e-08,8.614632965014789e-06,1.361e-08,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
250,-76.437385128332366,-5.018621819418677e-05,5.018621819418677e-05,3.030000000035782e-08,4.4106782820440954e-06,3.3568e-08,a606cb0ff838dc1a5f967238154d5c0892da5f5b63488d2c10959ec12d6e4d7c,True,True
